Issue Number,Alarm Severity,Status,Event Title,Airtel Site ID,ISM,ATC ID,Cluster,Regional Manager,Alarm Start Time,Alarm Cleared Time,DURATION,MTTR,MTTR RANGE,Root Cause,Specific Cause,Underlying Cause,Closing Details,Site Issue Type,ATC CLASS,AIRTEL CLASS,AIRTEL REGION,key
28442836,Closed,Major,SITE DOWN@NI0710,NI0710,I-ENG,629779,Suleja,Yusuf Abdullahi,05/07/2024 08:50,05/07/2024 12:00,190.00000000116407,3.166666666686069,2hrs - 4hrs,Power,DG Fault,DG Fuel Filter,"RS RALP CONFIRMED WATER MIXED WITH DIESEL, IT WAS SEPARATED_x000D_
DL:883_x000D_
GRH:1473",Incident,Silver,Silver,NORTH WEST,28442836_2024-07-05 08:50:00
28439158,Closed,Major,SITE DOWN@KN1818,KN1818,I-ENG,406909,Kano 2,Usman Shaibu,05/07/2024 08:45,05/07/2024 09:30,45.0,0.75,<2hrs,Power,DC Power,Rectifier Fault,"FSE DANIEL CONFIRMED FAULTY RECTIFIER CSU, IT WAS WORKED ON PENDING REPLACMENT_x000D_
DL:1258_x000D_
GHR:12547",Incident,Platinum COLO,Silver,NORTH EAST,28439158_2024-07-05 08:45:00
28439011,Closed,Major,SITE DOWN@KN0889,KN0889,I-ENG,627219,Kano 4,Usman Shaibu,05/07/2024 08:45,05/07/2024 09:28,42.99999999348074,0.7166666665580124,<2hrs,Power,DG Fault,AVR Fault,"FSE UMARU CONFIRMED FAULTY AVR, IT WAS BYPASS_x000D_
DL:1467_x000D_
GRH:8780",Incident,Platinum COLO,Silver,NORTH EAST,28439011_2024-07-05 08:45:00
28439086,Closed,Major,SITE DOWN@ZM0369,ZM0369,I-ENG,409177,Gusau,Ibrahim Lawan,05/07/2024 08:30,05/07/2024 08:35,5.000000005820766,0.083333333,<2hrs,Power,DG Fault,Radiator Leakages,"FSE SAMUEL FAULTY RADIATOR, IT WAS REPLACED_x000D_
DL:331_x000D_
GRH:20310",Incident,Silver,Silver,NORTH WEST,28439086_2024-07-05 08:30:00
28438451,Closed,Major,SITE DOWN@NI0512,NI0512,I-ENG,408301,Minna 2,Yusuf Abdullahi,05/07/2024 08:21,05/07/2024 08:58,37.00000000535511,0.6166666667559184,<2hrs,Power,DG Fault,Faulty Priming Pump,"FSE CHIROMA CONFIRMED FAULTY INJECTOR PUMP, IT WAS WORKED ON_x000D_
DL:451_x000D_
GHR:21045",Incident,Platinum COLO,Silver,NORTH WEST,28438451_2024-07-05 08:21:00
28439337,Closed,Major,SITE DOWN @ KG0087+2SUBS,KG0087,I-ENG,402371,Lokoja,Uche Obasi,05/07/2024 08:11,05/07/2024 09:48,97.00000000186265,1.6166666666977108,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED, DL : 236 , RH : 14169",Incident,Platinum,Platinum,NORTH WEST,28439337_2024-07-05 08:11:00
28437362,Closed,Major,SITE DOWN NI0051,NI0051,I-ENG,403440,Minna 2,Yusuf Abdullahi,05/07/2024 07:03,05/07/2024 09:22,139.00000000256114,2.3166666667093523,2hrs - 4hrs,Power,DG Fault,DG Coolant low,"FSE CHIROMA CONFIRMED HIGH TEMP ON DG DUE TO LOW WATER LEVEL IN RADIATOR, RADIATOR FLUSHED AND WATER WAS ADDED_x000D_
DL:627_x000D_
GHR:15871",Incident,Silver,Silver,NORTH WEST,28437362_2024-07-05 07:03:00
28437186,Closed,Major,SITE DOWN AT KG0391,KG0391,I-ENG,408209,Okene,Uche Obasi,05/07/2024 06:50,05/07/2024 16:16,566.0000000009313,9.433333333348855,>4hrs,Power,DG Fault,Generator Fault,"DG LOSS COMPRESSION, MDG WAS DEPLOYED TO SITE  DL : 177 , RH : 17115",Incident,Platinum COLO,Silver,NORTH WEST,28437186_2024-07-05 06:50:00
28436987,Closed,Major,SITE DOWN AT KN0087,KN0087,I-ENG,402484,Rano,Usman Shaibu,05/07/2024 06:44,05/07/2024 07:53,69.00000000488944,1.1500000000814907,<2hrs,Power,DG Fault,DG Fuel Filter,"FSE RICHARD CONFIRMED WATER MIXED WITH DIESEL, IT WAS SEPARATED AND DG POWERED_x000D_
DL:938_x000D_
GRH:8160",Incident,Silver,Silver,NORTH EAST,28436987_2024-07-05 06:44:00
28437221,Closed,Major,SITE DOWN AT KG0013,KG0013,I-ENG,402317,Okene,Uche Obasi,05/07/2024 06:31,05/07/2024 08:17,105.99999999976716,1.7666666666627862,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED, DL : 254 , RH : 11143",Incident,Silver,Silver,NORTH WEST,28437221_2024-07-05 06:31:00
28436359,Closed,Major,SITE DOWN AT KB4071,KB4071,I-ENG,405298,Kebbi Metro,John  Adejo,05/07/2024 06:16,05/07/2024 07:40,84.00000000139698,1.400000000023283,<2hrs,Power,DG Fault,Generator Fault,"DG MAJOR FAULT, MDG WAS POWERED",Incident,Silver,Silver,NORTH WEST,28436359_2024-07-05 06:16:00
28436157,Closed,Major,SITE DOWN AT SK0436,SK0436,I-ENG,626838,Sokoto 2,John  Adejo,05/07/2024 05:47,05/07/2024 06:42,55.00000000116415,0.9166666666860692,<2hrs,Power,DG Fault,DG Coolant low,"LOW COOLANT LEVEL IN RADIATOR, RADIATOR FLUSHED AND COOLANT ADDED DL:475L, HR:200",Incident,Silver,Silver,NORTH WEST,28436157_2024-07-05 05:47:00
28435684,Closed,Major,SITE DOWN AT KG0045,KG0045,I-ENG,402347,Okene,Uche Obasi,05/07/2024 05:47,05/07/2024 06:00,13.00000000046566,0.2166666666744277,<2hrs,Power,DG Fault,Fuel System Fault,"WATER MIX WITH DIESEL WAS FILTERED OUT AND DG POWERED DL : 439 , RH : 6166",Incident,Gold,Gold,NORTH WEST,28435684_2024-07-05 05:47:00
28435644,Closed,Major,SITE DOWN AT NI0512,NI0512,I-ENG,408301,Minna 2,Yusuf Abdullahi,05/07/2024 05:40,05/07/2024 06:11,31.00000000675209,0.5166666667792015,<2hrs,Power,DG Fault,Faulty Priming Pump,FAULTY HAND PRIMER WAS SWAPPED DL 456 RH 21044,Incident,Platinum COLO,Silver,NORTH WEST,28435644_2024-07-05 05:40:00
28434730,Closed,Major,SITE DOWN AT JG0427,JG0427,I-ENG,625848,Dutse,Usman Shaibu,05/07/2024 04:14,05/07/2024 05:37,82.99999999813735,1.3833333333022892,<2hrs,Power,DG Fault,Faulty Priming Pump,FAULTY HAND PRIMER WAS SWAPPED DL 473 RH 6935,Incident,Platinum COLO,Silver,NORTH EAST,28434730_2024-07-05 04:14:00
28434665,Closed,Major,SITE DOWN AT KG0045,KG0045,I-ENG,402347,Okene,Uche Obasi,05/07/2024 03:59,05/07/2024 04:49,49.99999999534339,0.8333333332557231,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED, DL : 439 , RH : 6166",Incident,Gold,Gold,NORTH WEST,28434665_2024-07-05 03:59:00
28434421,Closed,Major,SITE DOWN AT KN1668,KN1668-Z,I-ENG,409723,Kano 4,Usman Shaibu,05/07/2024 03:50,05/07/2024 05:15,85.00000000465661,1.4166666667442769,<2hrs,Power,DG Fault,Faulty Priming Pump,FAULTY INJECTOR PUMP WAS WORKED ON DL 371 RH 2762,Incident,Silver,Silver,NORTH EAST,28434421_2024-07-05 03:50:00
28434640,Closed,Major,SITE DOWN AT KD0088,KD0088,I-ENG,402206,Zaria 1,Emmanuel Okolo,05/07/2024 03:26,05/07/2024 06:46,200.0000000023283,3.3333333333721384,2hrs - 4hrs,Power,DC Power,Software Fault,"FAILED RECTIFIER LVD WAS WORKED ON, RH : 3812",Incident,Silver,Silver,NORTH WEST,28434640_2024-07-05 03:26:00
28433028,Closed,Major,SITE DOWN AT KB0006,KB0006,I-ENG,402074,Jega,John  Adejo,05/07/2024 01:41,05/07/2024 02:21,39.999999994179234,0.6666666665696539,<2hrs,Power,DG Fault,DG Fuel Filter,BLOCKED FUEL LINE WAS FREED DL 297 RH 14179,Incident,Gold,Gold,NORTH WEST,28433028_2024-07-05 01:41:00
28433094,Closed,Major,SITE DOWN AT NI0223,NI0223,I-ENG,406684,Minna 1,Yusuf Abdullahi,05/07/2024 01:32,05/07/2024 02:20,47.99999999930151,0.7999999999883585,<2hrs,Power,DG Fault,Rectifier Fault|Module Fault,PARTIAL CONTACT ON THE DG MODULE PLUG WAS WORKED ON DL 424 RH 5028,Incident,Silver,Silver,NORTH WEST,28433094_2024-07-05 01:32:00
28433223,Closed,Major,SITE DOWN AT NI0696,FC2362,I-ENG,405405,Suleja,Yusuf Abdullahi,05/07/2024 01:25,05/07/2024 04:29,183.99999999208376,3.0666666665347293,2hrs - 4hrs,Power,DG Fault,AC Breaker Fault|Burnt AC Breaker,TRIPPED DG LOAD BREAKER WAS ENABLED DL 536 RH 3680,Incident,Platinum COLO,Silver,NORTH WEST,28433223_2024-07-05 01:25:00
28433380,Closed,Major,SITE DOWN AT AB1306,FC5958,I-ENG,405395,"G/Lada
",Uche Obasi,05/07/2024 01:10,05/07/2024 08:02,412.00000000186265,6.866666666697711,>4hrs,Power,DG Fault,Contactor Fault,"HIGH RISK AREA/FAULTY GAVE CONTACTOR WAS WORKED ON : 3211DL , 13372RH",Incident,Platinum COLO,Silver,NORTH WEST,28433380_2024-07-05 01:10:00
28432484,Closed,Major,SITE DOWN AT JG0427,JG0427,I-ENG,625848,Dutse,Usman Shaibu,05/07/2024 00:48,05/07/2024 02:33,104.99999999650754,1.7499999999417923,<2hrs,Power,DG Fault,Faulty Priming Pump,FAULTY HAND PRIMER WAS WORKED ON DL 467 RH 9566,Incident,Platinum COLO,Silver,NORTH EAST,28432484_2024-07-05 00:48:00
28431868,Closed,Major,SITE DOWN AT KN0308,KN0308,I-ENG,402544,Kano 6,Usman Shaibu,05/07/2024 00:00,05/07/2024 01:00,59.99999999650754,0.9999999999417925,<2hrs,Power,DG Fault,Oil pressure Switch Fault,"LOW OIL PRESSURE, OIL WAS TOPPED DL 877 RH 14931",Incident,Silver,Silver,NORTH EAST,28431868_2024-07-05 00:00:00
28431295,Closed,Major,SITE DOWN AT KG0086,KG0086,I-ENG,402370,Lokoja,Uche Obasi,05/07/2024 00:00,05/07/2024 03:29,209.00000000023283,3.483333333337214,2hrs - 4hrs,Power,Theft,AC/DC Cable Theft,"VANDALIZED ARMOURED CABLES FROM DG TO RECTIFIER WAS REPLACED, RH: 4639",Security,Platinum,Platinum,NORTH WEST,28431295_2024-07-05 00:00:00
28430424,Closed,Major,SITE DOWN AT KN0912,KN0912,I-ENG,627921,Gumel,Usman Shaibu,05/07/2024 00:00,05/07/2024 02:44,164.00000000023283,2.733333333337214,2hrs - 4hrs,Power,DG Fault,DG Coolant low,"DG HIGH TEMP. DUE TO LOW WATER IN THE RADIATOR, WATER WAS TOPPED DL 371 RH 5780",Incident,Silver,Silver,NORTH EAST,28430424_2024-07-05 00:00:00
28480256,Closed,Major,SITE DOWN@KB0242,KB0242,I-ENG,402112,Koko,John  Adejo,06/07/2024 23:26,06/07/2024 23:59,33.98333332501352,0.5663888887502253,<2hrs,Power,DG Fault,Malfunctioning Battery,"FSE VICTOR CONFIRMED SYNC FAILURE FROM HYBRID/DG DUE TO DG FAILED TO START, ALARM CLEARED AND DG POWERED ON AUTO_x000D_
DL:721_x000D_
GRH:24801",Incident,Silver,Silver,NORTH WEST,28480256_2024-07-06 23:26:00
28480736,Closed,Major,SITE DOWN @ SK0471,SK0471,I-ENG,627614,Sokoto 2,John  Adejo,06/07/2024 23:18,06/07/2024 23:59,40.99999999743886,0.6833333332906477,<2hrs,Power,DG Fault,Generator Failure,UNDER FREQUENCY ALARM WAS CLEARED AND DG POWERED  (921L) (4365RH),Incident,Silver,Silver,NORTH WEST,28480736_2024-07-06 23:18:00
28478630,Closed,Major,SITE DOWN @ KG0292,KG0292,I-ENG,402390,Kabba,Uche Obasi,06/07/2024 20:35,06/07/2024 22:32,116.99999999371356,1.9499999998952264,<2hrs,Power,DG Fault,DG Starter Battery Fault,"HYBRID  SYNC FAILURE DUE TO DG FAIL TO START ALARM, IT WAS CLEARED AND DG POWERED (480L). (16325RH)",Incident,Silver,Silver,NORTH WEST,28478630_2024-07-06 20:35:00
28476648,Closed,Major,SITE DOWN AT NI0613,NI0613,I-ENG,626822,Kontagora2,Yusuf Abdullahi,06/07/2024 18:11,06/07/2024 19:45,93.99999999208376,1.5666666665347293,<2hrs,Power,DG Fault,Radiator Leakages,"FSE GEORGE CONFIRMED BURSTED RADIATOR HOSE, IT WAS WORKED ON_x000D_
DL:570_x000D_
GRH:7790",Incident,Silver,Silver,NORTH WEST,28476648_2024-07-06 18:11:00
28474180,Closed,Major,SITE DOWN AT KD0915,KD0915,I-ENG,409284,Pambegwa,Emmanuel Okolo,06/07/2024 16:39,06/07/2024 17:41,62.0,1.033333333,<2hrs,Power,DG Fault,AVR Fault,"DG FAULTY AVR WAS WORKED ON, DG POWERED. DL=249L  DGRH=11236",Incident,Platinum COLO,Silver,NORTH WEST,28474180_2024-07-06 16:39:00
28473437,Closed,Major,SITE DOWN AT KD0303,KD0303,I-ENG,402252,Zaria 2,Emmanuel Okolo,06/07/2024 16:27,06/07/2024 16:36,8.999999997904524,0.1499999999650754,<2hrs,Power,DC Power,Generator Refuel,TEAM CONFIRMED SITE PPM AND FUEL SUPPLY WAS DONE AT SITE; FAULTY RECTIFIER PANE EQUALLY WORKED ON. DL=2072L DGRH=13432,Planned Work,Silver,Silver,NORTH WEST,28473437_2024-07-06 16:27:00
28473573,Closed,Major,SITE DOWN AT NI0512,NI0512,I-ENG,408301,Minna 2,Yusuf Abdullahi,06/07/2024 16:23,06/07/2024 17:30,66.99999999837019,1.116666666639503,<2hrs,Power,DG Fault,DG Electric Fuel Pump,"DG FAULTY INJECTOR PUMP WAS REPLACED, DG POWERED. DGRH= N/A DL=N/A",Incident,Platinum COLO,Silver,NORTH WEST,28473573_2024-07-06 16:23:00
28471430,Closed,Major,SITE DOWN@AB1177,FC2352-Z,I-ENG,407567,JAHI/KUBWA RD,Uche Obasi,06/07/2024 13:47,06/07/2024 14:51,63.99999999906868,1.0666666666511446,<2hrs,Power,DG Fault,DG Oil,LOW OIL PRESSURE OIL WAS TOPPED AND DG POWERED DL 663 RH 9897,Incident,Platinum COLO,Silver,NORTH WEST,28471430_2024-07-06 13:47:00
28470445,Closed,Major,SITE DOWN@KN0892,KN0892,I-ENG,627519,Kano 2,Usman Shaibu,06/07/2024 13:27,06/07/2024 13:48,20.99999999511056,0.3499999999185093,<2hrs,Power,DG Fault,AVR Fault,FAULTY AVR / AVR WAS BY PAASED AND DG POWERED. DL 1088L RH 5502,Incident,Silver,Silver,NORTH EAST,28470445_2024-07-06 13:27:00
28470207,Closed,Major,SITE DOWN AT NI0306,NI0306,I-ENG,403506,Tegina,Yusuf Abdullahi,06/07/2024 12:39,06/07/2024 14:56,136.99999999604188,2.2833333332673647,2hrs - 4hrs,Power,DG Fault,DG Electric Fuel Pump,"DG FAULTY INJECTOR PUMP WAS WORKED ON, DG POWERED. DL=1456 DGRH=20548",Incident,Platinum COLO,Silver,NORTH WEST,28470207_2024-07-06 12:39:00
28468221,Closed,Major,SITE DOWN AT KD0302,KD0302,I-ENG,402251,Zaria 2,Emmanuel Okolo,06/07/2024 11:49,06/07/2024 13:43,114.00000000488944,1.9000000000814907,<2hrs,Power,Fuel Outage,Low Fuel,"HIGH RISK AREA LOCATED SITE: TEAM CONFIRMED LOW FUEL PRESSURE DUE TO LOW FUEL LEVEL. FUEL WAS SUPPLIED, DG POWERED. DGRH= 16169 DL=NOT VISIBLE",Incident,Silver,Silver,NORTH WEST,28468221_2024-07-06 11:49:00
28469426,Closed,Major,SITE DOWN@AB1177,FC2352-Z,I-ENG,407567,JAHI/KUBWA RD,Uche Obasi,06/07/2024 11:48,06/07/2024 13:04,75.99999999627471,1.2666666666045785,<2hrs,Power,DG Fault,DG Oil,LOW OIL PRESSURE OIL WAS TOPPED AND DG POWERED DL 663 RH 9897,Incident,Platinum COLO,Silver,NORTH WEST,28469426_2024-07-06 11:48:00
28466606,Closed,Major,SITE DOWN@KN0063,KN0063,I-ENG,402460,Bichi,Usman Shaibu,06/07/2024 10:34,06/07/2024 10:43,8.999999997904524,0.1499999999650754,<2hrs,Power,DG Fault,AVR Fault,"FAULTY AVR WAS WORKED ON AND DG POWERED,  DL 331L ; RH 5748",Incident,Platinum COLO,Silver,NORTH EAST,28466606_2024-07-06 10:34:00
28465908,Closed,Major,SITE DOWN AT NI0614,NI0614,I-ENG,626314,Kontagora2,Yusuf Abdullahi,06/07/2024 09:25,06/07/2024 12:40,195.0000000069849,3.250000000116416,2hrs - 4hrs,Power,DG Fault,DG In stop Mode,TEAM CONFIRMED DG FAIL TO START ALARM DUE TO HYBRID SYNCHRONIZATION FAILURE FROM BATTERY TO DG WAS CLEARED. DL=1343L DGRH= 19962,Incident,Platinum COLO,Silver,NORTH WEST,28465908_2024-07-06 09:25:00
28464017,Closed,Major,SITE DOWN AT KT0016,KT0016,I-ENG,402594,Funtua,Ibrahim Lawan,06/07/2024 08:21,06/07/2024 08:46,24.999999997671694,0.4166666666278615,<2hrs,Power,DG Fault,Fuel Solenoid Fault,"FAULTY SOLENOID SWITCH WAS WORKED ON, DG POWERED. DL=290L DGRH= 5581",Incident,Platinum,Platinum,NORTH WEST,28464017_2024-07-06 08:21:00
28463829,Closed,Major,SITE DOWN AT NI0539,NI0539,I-ENG,405511,Suleja,Yusuf Abdullahi,06/07/2024 07:46,06/07/2024 08:26,40.00000000465661,0.6666666667442769,<2hrs,Power,Fuel Outage,Low Fuel,"DG LOW FUEL PRESSURE DUE TO LOW FUEL LEVEL. FUEL WAS TOPPED, DG POWERED._x000D_
DL=325L DGRH=7367",Incident,Silver,Silver,NORTH WEST,28463829_2024-07-06 07:46:00
28463157,Closed,Major,SITE DOWN AT AB0456,AB0456,I-ENG,404834,CBD,Uche Obasi,06/07/2024 07:28,06/07/2024 07:43,14.99999999650754,0.2499999999417923,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED, DL : 379 , RH : 8479",Incident,Platinum COLO,Silver,NORTH WEST,28463157_2024-07-06 07:28:00
28462578,Closed,Major,SITE DOWN AT AB0443,AB0443,I-ENG,628465,Lugbe,Uche Obasi,06/07/2024 06:30,06/07/2024 08:52,141.99999999138527,2.366666666523088,2hrs - 4hrs,Power,DG Fault,DC Breaker Fault|Overloaded DC Breaker,FAULTY DG LOAD BREAKER / DG LOAD BREAKER WAS REPLACED AND DG POWERED /NOT VISIBLE ON GALOOLI,Incident,Silver,Silver,NORTH WEST,28462578_2024-07-06 06:30:00
28461138,Closed,Major,SITE DOWN AT KD1103,KD1103,I-ENG,628584,Kachia Road,Emmanuel Okolo,06/07/2024 04:36,06/07/2024 07:40,184.0000000025612,3.0666666667093523,2hrs - 4hrs,Power,DG Fault,Faulty Charging Alternator,"FAILED CHANGING ALTERNAOR WAS EXCITED (379L), (1109RH)",Incident,Silver,Silver,NORTH WEST,28461138_2024-07-06 04:36:00
28460660,Closed,Major,SITE DOWN AT KG0085,KG0085,I-ENG,402369,Lokoja,Uche Obasi,06/07/2024 03:55,06/07/2024 04:19,23.999999994412065,0.3999999999068677,<2hrs,Power,DG Fault,Generator Power Alarm,"DG UNEXPECTED SHUTDOWN, DG POWERED CHARGING CURRENT WAS REDUCED",Incident,Platinum COLO,Platinum,NORTH WEST,28460660_2024-07-06 03:55:00
28459550,Closed,Major,SITE DOWN AT NI0288,NI0288,I-ENG,403500,Lapai,Yusuf Abdullahi,06/07/2024 02:27,06/07/2024 08:10,343.0000000074506,5.716666666790843,>4hrs,Power,DG Fault,Radiator Leakages,"DG FAULTY RADIATOR WAS WORKED ON, DG POWERED DL=1272L DGRH= 21073",Incident,Platinum COLO,Silver,NORTH WEST,28459550_2024-07-06 02:27:00
28460233,Closed,Major,SITE DOWN AT KD0401,KD0401,I-ENG,402268,Abuja Road,Emmanuel Okolo,06/07/2024 02:07,06/07/2024 03:33,86.00000000791624,1.4333333334652707,<2hrs,Power,DG Fault,Faulty Control Panel,"FAULTY DG MODULE WAS WORKED ON AND DG POWERED,  RH : 16017",Incident,Silver,Silver,NORTH WEST,28460233_2024-07-06 02:07:00
28458615,Closed,Major,SITE DOWN AT KG0304,KG0304,I-ENG,402394,Lokoja,Uche Obasi,06/07/2024 01:14,06/07/2024 07:04,349.99999999883585,5.833333333313931,>4hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED, DL : 330 , RH : 17234",Incident,Silver,Silver,NORTH WEST,28458615_2024-07-06 01:14:00
28458676,Closed,Major,SITE DOWN AT KD0454,KD0454,I-ENG,402296,Kachia Road,Emmanuel Okolo,06/07/2024 01:04,06/07/2024 05:58,294.00000000488944,4.900000000081491,>4hrs,Power,DG Fault,Faulty Priming Pump,FAULTY INJECTOR PUMP WAS REPLACED ;  1838DL ; 21448RH,Incident,Platinum COLO,Silver,NORTH WEST,28458676_2024-07-06 01:04:00
28457878,Closed,Major,SITE DOWN AT KG0023,KG0023,I-ENG,402327,Lokoja,Uche Obasi,06/07/2024 00:00,06/07/2024 01:02,62.0,1.033333333,<2hrs,Power,DG Fault,Faulty Priming Pump,"FAULTY INJECTOR PUMP WAS WORKED ON, 1090L ; 6033RH",Incident,Platinum,Platinum,NORTH WEST,28457878_2024-07-06 00:00:00
28457833,Closed,Major,SITE DOWN AT KG0083,KG0083,I-ENG,402367,Okene,Uche Obasi,06/07/2024 00:00,06/07/2024 00:38,37.99999999813736,0.6333333333022892,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED, DL : 308 , RH : 4072",Incident,Platinum,Platinum,NORTH WEST,28457833_2024-07-06 00:00:00
28457034,Closed,Major,SITE DOWN AT KG0009,KG0009,I-ENG,402280,Okene,Uche Obasi,06/07/2024 00:00,06/07/2024 00:38,37.99999999813736,0.6333333333022892,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED, DL : 217 , RH : 4750",Incident,Platinum COLO,Silver,NORTH WEST,28457034_2024-07-06 00:00:00
28504734,New,Major,SITE DOWN @ KD0410,KD0410,I-ENG,402275,Zaria 2,Emmanuel Okolo,07/07/2024 23:09,07/07/2024 23:59,50.98333332804032,0.8497222221340053,<2hrs,Power,DG Fault,DG Major Fault BUB was used to power site,DG Major Fault BUB was used to power site,Incident,Silver,Silver,NORTH WEST,28504734_2024-07-07 23:09:00
28502108,Closed,Major,SITE DOWN@KN1665,KN1665-Z,I-ENG,409719,Kano 3,Usman Shaibu,07/07/2024 23:00,07/07/2024 23:15,14.99999999650754,0.2499999999417923,<2hrs,Power,DG Fault,Faulty Priming Pump,"FSE SAIDU  CONFIRMED FAULTY INJECTOR PUMP, IT WAS SERVICED_x000D_
DL:517_x000D_
GRH:19251",Incident,Silver,Silver,NORTH WEST,28502108_2024-07-07 23:00:00
28504677,Closed,Major,SITE DOWN @ KD0423,KD0423,I-ENG,402277,Birnin Gwari,Emmanuel Okolo,07/07/2024 22:30,07/07/2024 23:48,78.00000000279397,1.300000000046566,<2hrs,Power,DC Power,DC Cable Fault|Damaged DC Cable,"BURNT DC LOAD CABLE WAS REPLACED AND DG POWERED DL 257, RH 12073",Incident,Platinum COLO,Silver,NORTH WEST,28504677_2024-07-07 22:30:00
28500758,Closed,Major,SITE DOWN @ KG0025,KG0025,I-ENG,402282,Okene,Uche Obasi,07/07/2024 21:28,07/07/2024 23:59,151.9833333324641,2.5330555555410683,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED DL 251, RH 16566",Incident,Platinum COLO,Silver,NORTH WEST,28500758_2024-07-07 21:28:00
28500110,Closed,Major,SITE DOWN@KN0297,KN0297,I-ENG,402424,Kano 2,Usman Shaibu,07/07/2024 21:15,07/07/2024 22:00,45.0,0.75,<2hrs,Power,DG Fault,Faulty Charging Alternator,"FSE DANIEL CONFIRMED FAULTY CHARGING ALTERNATOR AND KICK STARTER, IT WAS WORKED ON _x000D_
DL:1631_x000D_
GRH:13152",Incident,Platinum COLO,Silver,NORTH EAST,28500110_2024-07-07 21:15:00
28500841,New,Major,SITE DOWN @ KG0084,KG0084,I-ENG,402368,Okene,Uche Obasi,07/07/2024 20:46,07/07/2024 23:59,193.0000000004657,3.216666666674428,<2hrs,Power,Others,"SDS confirmed rectifier controller was affected by thunder strike, team currently on site","SDS confirmed rectifier controller was affected by thunder strike, team currently on site",Incident,Platinum,Platinum,NORTH WEST,28500841_2024-07-07 20:46:00
28500191,Closed,Major,SITE DOWN @ KG0025,KG0025,I-ENG,402282,Okene,Uche Obasi,07/07/2024 20:20,07/07/2024 21:22,62.0,1.033333333,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED,  DL : 251L ; RH : 8650",Incident,Platinum COLO,Silver,NORTH WEST,28500191_2024-07-07 20:20:00
28500221,Closed,Major,SITE DOWN @ KD0423,KD0423,I-ENG,402277,Birnin Gwari,Emmanuel Okolo,07/07/2024 20:10,07/07/2024 21:03,52.999999994644895,0.8833333332440816,<2hrs,Power,DC Power,Malfunctioning,"MALFUNCATION RECTIFIER CSU WAS RESET DL 274, RH 12066",Incident,Platinum COLO,Silver,NORTH WEST,28500221_2024-07-07 20:10:00
28500093,Closed,Major,SITE DOWN @ KD0410,KD0410,I-ENG,402275,Zaria 2,Emmanuel Okolo,07/07/2024 19:37,07/07/2024 22:55,197.99999999580905,3.299999999930151,<2hrs,Power,DG Fault,DG Overheating,"DG OVERHEATING, RADATOR FLAUSH AND WATER WAS TOPPED DL 241, RH 14047",Incident,Silver,Silver,NORTH WEST,28500093_2024-07-07 19:37:00
28498173,Closed,Major,SITE DOWN@KG0083,KG0083,I-ENG,402367,Okene,Uche Obasi,07/07/2024 19:08,07/07/2024 19:56,47.99999999930151,0.7999999999883585,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED, DL 306, RH 17952",Incident,Platinum,Platinum,NORTH WEST,28498173_2024-07-07 19:08:00
28497886,Closed,Major,SITE DOWN AT KD0819,KD0819,I-ENG,408157,Abuja Road,Emmanuel Okolo,07/07/2024 18:52,07/07/2024 19:13,20.99999999511056,0.3499999999185093,<2hrs,Power,DG Fault,Faulty Charging Alternator,"FAILED CHARGING ALTERNATOR WAS EXCITED, DG POWERED. DL=1258  DGRH=19953",Incident,Platinum COLO,Silver,NORTH WEST,28497886_2024-07-07 18:52:00
28497554,Closed,Major,SITE DOWN@AB1234,AB1234,I-ENG,408104,Lugbe,Uche Obasi,07/07/2024 18:10,07/07/2024 19:51,100.9999999939464,1.683333333,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED",Incident,Platinum COLO,Silver,NORTH WEST,28497554_2024-07-07 18:10:00
28494264,Closed,Major,SITE DOWN@KG0009,KG0009,I-ENG,402280,Okene,Uche Obasi,07/07/2024 14:41,07/07/2024 23:59,558.9833333,9.316388888808431,>4hrs,Power,ATS Fault,ATS Fault,"FAULTY ATS PANEL WAS WORKED ON, DL : 217L ; RH : 4750",Incident,Platinum COLO,Silver,NORTH WEST,28494264_2024-07-07 14:41:00
