Issue Number,Alarm Severity,Status,Event Title,Airtel Site ID,ISM,ATC ID,Cluster,Regional Manager,Alarm Start Time,Alarm Cleared Time,DURATION,MTTR,MTTR RANGE,Root Cause,Specific Cause,Underlying Cause,Closing Details,Site Issue Type,ATC CLASS,AIRTEL CLASS,AIRTEL REGION,key
28366788,Closed,Major,SITE DOWN AT SK0008,SK0008,I-ENG,404445,Sokoto 2,John  Adejo,02/07/2024 12:12,02/07/2024 13:43,91.00000000325964,1.5166666667209938,<2hrs,Power,DG Fault,Faulty Charging Alternator,"FAILED CHARGING ALTERNATOR WAS EXCITED, 2867DL : 7343RH",Incident,Platinum COLO,Silver,NORTH WEST,28366788_2024-07-02 12:12:00
28364269,Closed,Major,SITE DOWN AT AB1385,AB1385,I-ENG,408850,Kubwa,Uche Obasi,02/07/2024 11:52,02/07/2024 12:47,55.00000000116415,0.9166666666860692,<2hrs,Power,DG Fault,DG Oil,"LOW OIL LEVEL, ENGINE OIL WAS TOPPED AND DG POWERED",Incident,Platinum COLO,Silver,NORTH WEST,28364269_2024-07-02 11:52:00
28363054,Closed,Major,SITE DOWN AT KD0101,KD0101,I-ENG,402209,Kachia Road,Emmanuel Okolo,02/07/2024 11:04,02/07/2024 11:38,34.00000001,0.566666667,<2hrs,Power,DG Fault,DG Starter Battery Fault,"CRANK DG BATTERY, EXTERNAL BATTERY WAS USED TO POWER SITE/DL385L RH 5788",Incident,Platinum COLO,Silver,NORTH WEST,28363054_2024-07-02 11:04:00
28362635,Closed,Major,SITE DOWN AT KD0868,KD0868,I-ENG,408159,Kachia Road,Emmanuel Okolo,02/07/2024 10:43,02/07/2024 11:46,62.99999999580905,1.0499999999301508,<2hrs,Power,DG Fault,DG Starter Battery Fault,"FAULTY DG BATTERY TERMINAL, IT WAS WORKED ON, 938DL ; 6195RH",Incident,Silver,Silver,NORTH WEST,28362635_2024-07-02 10:43:00
28361732,Closed,Major,SITE DOWN AT KD1101,KD1101,I-ENG,628583,Kachia Road,Emmanuel Okolo,02/07/2024 10:01,02/07/2024 10:38,37.00000000535511,0.6166666667559184,<2hrs,Power,ATS Fault,Faulty DG Contactor,FAULTY GAVE CONTACTOR WAS WORKED ON,Incident,Silver,Silver,NORTH WEST,28361732_2024-07-02 10:01:00
28359650,Closed,Major,SITE DOWN AT AB0652,AB0652,I-ENG,404850,JAHI/KUBWA RD,Uche Obasi,02/07/2024 08:57,02/07/2024 09:22,24.999999997671694,0.4166666666278615,<2hrs,Power,DG Fault,Generator Power Alarm,"DG FAILED TO START ALARM WAS CLEARED AND DG POWERED, DL ; 512 : RH ; 16891",Incident,Silver,Silver,NORTH WEST,28359650_2024-07-02 08:57:00
28358419,Closed,Major,SITE DOWN AT KN1046,KN1046,I-ENG,628609,Janguza,Usman Shaibu,02/07/2024 07:36,02/07/2024 08:26,50.000000005820766,0.8333333334303461,<2hrs,Power,DC Power,Rectifier Fault|Loose Connection,"FROZEN CSU WAS RESET _x000D_
DL - 514 RH - 3153",Incident,Silver,Silver,NORTH EAST,28358419_2024-07-02 07:36:00
28357469,Closed,Major,SITE DOWN@KN0366,KN0366,I-ENG,402565,Kano 4,Usman Shaibu,02/07/2024 07:00,02/07/2024 08:52,111.9999999983702,1.866666666639503,<2hrs,Power,DG Fault,DG Coolant low,"DG HIGH TEMP DUE TO LOW WATER IN THE RADIATOR, WATER WAS TOPPED DL - 562 RH 15408",Incident,Silver,Silver,NORTH EAST,28357469_2024-07-02 07:00:00
28357224,Closed,Major,SITE DOWN AT KD0866,KD0866,I-ENG,405666,Kachia Road,Emmanuel Okolo,02/07/2024 06:45,02/07/2024 08:03,78.00000000279397,1.300000000046566,<2hrs,Power,DG Fault,Radiator Leakages,"FAULTY RADIATOR WAS WORKED ON, 984L ; 11370RH",Incident,Platinum COLO,Silver,NORTH WEST,28357224_2024-07-02 06:45:00
28356532,Closed,Major,SITE DOWN@AB1512,AB1512,I-ENG,406529,Kubwa,Uche Obasi,02/07/2024 06:29,02/07/2024 06:48,18.99999999906868,0.3166666666511446,<2hrs,Power,DG Fault,DG Coolant low,"LOW WATER LEVEL AND COOLANT WAS ADDED AND DG POWERED, DL ; 637 : RH ; 10037",Incident,Platinum COLO,Silver,NORTH WEST,28356532_2024-07-02 06:29:00
28356088,Closed,Major,SITE DOWN@KN0734,KN0734,I-ENG,408473,Kano 4,Usman Shaibu,02/07/2024 05:30,02/07/2024 07:22,111.9999999983702,1.866666666639503,<2hrs,Power,DG Fault,DG Fuel Filter,BLOCKED FUEL LINE // FUEL LINE WAS FLUSHED AND DG POWERED/ DIESEL LEVEL 444L RH 13388,Incident,Platinum COLO,Silver,NORTH EAST,28356088_2024-07-02 05:30:00
